Station,Sediment sample,Latitude Degrees,Latitude Minutes,Latitude Seconds,North/South,Longitude Degrees,Longitude Minutes,Longitude Seconds,East/West,Decimal Longitude,Decimal Latitude,Location,FAOarea,Water body,Sea Area,Place,Date,Gear,Depth (fathoms),Bottom water temperature (C),Bottom temp (F),Bottom water depth D (fathoms),Specific Gravity at bottom,Surface temp (C),Surface temp (F),Specific Gravity at surface,Temp (F) at 10 Fathoms,Temp (F) at 20 Fathoms,Temp (F) at 25 Fathoms,Temp (F) at 30 Fathoms,Temp (F) at 40 Fathoms,Temp (F) at 50 Fathoms,Temp (F) at 60 Fathoms,Temp (F) at 70 Fathoms,Temp (F) at 75 Fathoms,Temp (F) at 80 Fathoms,Temp (F) at 90 Fathoms,Temp (F) at 100 Fathoms,Temp (F) at 110 Fathoms,Temp (F) at 120 Fathoms,Temp (F) at 125 Fathoms,Temp (F) at 130 Fathoms,Temp (F) at 140 Fathoms,Temp (F) at 150 Fathoms,Temp (F) at 160 Fathoms,Temp (F) at 170 Fathoms,Temp (F) at 175 Fathoms,Temp (F) at 180 Fathoms,Temp (F) at 190 Fathoms,Temp (F) at 200 Fathoms,Temp (F) at 225 Fathoms,Temp (F) at 250 Fathoms,Temp (F) at 275 Fathoms,Temp (F) at 300 Fathoms,Temp (F) at 400 Fathoms,Temp (F) at 500 Fathoms,Temp (F) at 600 Fathoms,Temp (F) at 700 Fathoms,Temp (F) at 800 Fathoms,Temp (F) at 900 Fathoms,Temp (F) at 1000 Fathoms,Temp (F) at 1100 Fathoms,Temp (F) at 1200 Fathoms,Temp (F) at 1300 Fathoms,Temp (F) at 1330 Fathoms,Temp (F) at 1400 Fathoms,Temp (F) at 1450 Fathoms,Temp (F) at 1500 Fathoms,Temp (F) at 1530 Fathoms,Temp (F) at 1580 Fathoms,Temp (F) at 1600 Fathoms,Temp (F) at 1650 Fathoms,Temp (F) at 1700 Fathoms,Temp (F) at 1725 Fathoms,Temp (F) at 1730 Fathoms,Temp (F) at 1775 Fathoms,Temp (F) at 1780 Fathoms,Temp (F) at 1800 Fathoms,Temp (F) at 1825 Fathoms,Temp (F) at 1850 Fathoms,Temp (F) at 1900 Fathoms,Temp (F) at 1915 Fathoms,Temp (F) at 1980 Fathoms,Temp (F) at 2000 Fathoms,Temp (F) at 2025 Fathoms,Temp (F) at 2100 Fathoms,Temp (F) at 2125 Fathoms,Temp (F) at 2180 Fathoms,Temp (F) at 2200 Fathoms,Temp (F) at 2225 Fathoms,Temp (F) at 2270 Fathoms,Temp (F) at 2300 Fathoms,Temp (F) at 2325 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2425 Fathoms,Temp (F) at 2440 Fathoms,Temp (F) at 2500 Fathoms,Temp (F) at 2525 Fathoms,Temp (F) at 2600 Fathoms,Temp (F) at 2625 Fathoms,Temp (F) at 2650 Fathoms,Temp (F) at 2675 Fathoms,Temp (F) at 2700 Fathoms,Temp (F) at 2775 Fathoms,Temp (F) at 2800 Fathoms,Temp (F) at 2900 Fathoms
II e,Green mud,38,22,0,N,9,44,0,W,-9.733333333333333,38.36666666666667,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,14/01/1873,,1290.0,,,,,13.88888888888889,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II f,Green mud,38,14,25,N,9,49,42,W,-9.828333333333333,38.24027777777778,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,14/01/1873,,1475.0,3.0555555555555554,37.5,,,14.166666666666666,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II g,Green mud,38,9,43,N,9,48,0,W,-9.8,38.161944444444444,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,14/01/1873,,1380.0,3.333333333333333,38.0,,,14.166666666666666,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II h,Green mud,37,50,0,N,10,8,0,W,-10.133333333333333,37.833333333333336,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,14/01/1873,,1800.0,2.7777777777777777,37.0,,,13.88888888888889,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II j,Green mud,37,1,45,N,9,23,45,W,-9.395833333333332,37.02916666666667,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,15/01/1873,,1000.0,4.166666666666667,39.5,,,15.277777777777777,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II k,Green sand,36,58,50,N,9,14,20,W,-9.238888888888889,36.980555555555554,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,15/01/1873,Dredge,525.0,12.222222222222221,54.0,,,15.555555555555555,60.0,,,,60.0,,,60.0,,,59.2,,,57.5,,,56.3,,,55.3,,,54.8,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III,Green sand,37,2,0,N,9,14,0,W,-9.233333333333333,37.03333333333333,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,15/01/1873,Dredge,900.0,,,,,15.555555555555555,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV,Green sand,36,25,0,N,8,12,0,W,-8.2,36.416666666666664,Between Cape Sao Vincente and Gibraltar Strait,27,Northeast Atlantic Ocean,,Portugal,16/01/1873,Dredge & Trawl,600.0,,,,,15.555555555555555,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,Globigerina ooze,35,47,0,N,8,23,0,W,-8.383333333333333,35.78333333333333,"Ninety miles south-east of Cape Sao Vicente, Portugal",27,Northeast Atlantic Ocean,,Portugal,28/01/1873,Trawl,1090.0,3.611111111111111,38.5,,,16.11111111111111,61.0,,61.0,61.0,,60.9,60.7,60.5,60.3,59.6,,58.7,57.9,57.4,57.0,56.6,,56.2,55.7,55.2,54.9,54.6,,54.3,54.1,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V a,,36,13,0,N,10,7,0,W,-10.116666666666667,36.21666666666667,"SW of Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,29/01/1873,,2500.0,,,,,15.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,Globigerina ooze,36,23,0,N,11,18,0,W,-11.3,36.38333333333333,"Off SW of Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,30/01/1873,Trawl,1525.0,2.2222222222222223,36.0,,,14.444444444444445,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII,Globigerina ooze,35,20,0,N,13,4,0,W,-13.066666666666666,35.333333333333336,SE Josephine Bank,34,Eastern Central Atlantic Ocean,,,31/01/1873,Trawl,2125.0,2.7777777777777777,37.0,,,15.555555555555555,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII a,Globigerina ooze,34,4,0,N,14,18,0,W,-14.3,34.06666666666667,Off NE Madeira Islands,34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,,2250.0,2.7777777777777777,37.0,,,16.11111111111111,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII b,Globigerina ooze,32,43,0,N,15,52,0,W,-15.866666666666667,32.71666666666667,East of Madeira Islands,34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,,2225.0,2.7777777777777777,37.0,,,17.22222222222222,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII c,Calcareous sand,32,21,0,N,16,24,0,W,-16.4,32.35,"South of Bugio Island, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,,670.0,8.22222222222222,46.8,,,17.22222222222222,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII d,Volcanic mud,32,16,0,N,16,28,0,W,-16.466666666666665,32.266666666666666,"South of Bugio Island, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,,1150.0,,,,,17.77777777777778,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII e,Volcanic mud,32,20,15,N,16,32,0,W,-16.533333333333335,32.3375,"South of Bugio Island, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,Trawl,930.0,6.388888888888888,43.5,,,17.666666666666664,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII f,Volcanic mud,32,27,0,N,16,40,30,W,-16.675,32.45,South of Madeira Island,34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,,1500.0,,,,,17.22222222222222,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII g,Volcanic mud,32,32,45,N,16,48,0,W,-16.8,32.545833333333334,South of Madeira Island,34,Eastern Central Atlantic Ocean,,Madeira,03/02/1873,,1150.0,3.888888888888889,39.0,,,17.22222222222222,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII h,Volcanic mud,32,35,0,N,16,51,0,W,-16.85,32.583333333333336,"South of Funchal, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,03/02/1873,,790.0,7.222222222222222,45.0,,,17.11111111111111,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII j,Volcanic mud,32,36,15,N,16,53,15,W,-16.8875,32.60416666666667,"South of Funchal, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,03/02/1873,,490.0,,,,,17.22222222222222,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII k,Globigerina ooze,29,19,0,N,16,38,0,W,-16.633333333333333,29.316666666666666,"North of Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,06/02/1873,,1975.0,2.333333333333335,36.2,,,16.944444444444443,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII l,Volcanic mud,28,28,0,N,16,12,30,W,-16.208333333333332,28.466666666666665,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,278.0,,,,,17.77777777777778,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII m,Volcanic mud,28,28,0,N,16,10,0,W,-16.166666666666668,28.466666666666665,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,630.0,7.222222222222222,45.0,,,17.77777777777778,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII n,Volcanic mud,28,30,30,N,16,3,30,W,-16.058333333333334,28.508333333333333,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,975.0,5.0,41.0,,,17.77777777777778,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII o,Volcanic mud,28,33,0,N,16,4,0,W,-16.066666666666666,28.55,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,560.0,7.5,45.5,,,17.77777777777778,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII p,Volcanic sand,28,35,0,N,16,5,0,W,-16.0833333333333,28.583333333333332,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,Dredge,78.0,,,,,17.77777777777778,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII q,Hard ground,28,38,0,N,16,5,0,W,-16.083333333333332,28.633333333333333,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,179.0,,,,,17.77777777777778,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII r,Volcanic mud,28,41,0,N,16,6,0,W,-16.1,28.683333333333334,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,640.0,7.666666666666665,45.8,,,17.77777777777778,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII s,Volcanic mud,28,45,0,N,16,7,0,W,-16.116666666666667,28.75,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,1390.0,3.611111111111111,38.5,,,20.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII t,Volcanic mud,28,42,0,N,17,8,0,W,-17.133333333333333,28.7,"N of Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,11/02/1873,,1750.0,3.0555555555555554,37.5,,,17.22222222222222,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII u,Volcanic mud,28,20,0,N,17,34,0,W,-17.566666666666666,28.333333333333332,"N of Gomera Island, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,11/02/1873,,1340.0,3.611111111111111,38.5,,,18.333333333333332,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII v,Volcanic mud,27,58,0,N,17,39,0,W,-17.65,27.966666666666665,"SW of Gomera Island, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,11/02/1873,,1620.0,3.0555555555555554,37.5,,,18.333333333333332,65.0,,,,,,,,,,,,,59.3,,,,,,,,,,,,55.0,,,,51.6,48.9,46.5,44.7,43.2,41.9,40.8,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIII,Volcanic mud,28,3,15,N,17,27,0,W,-17.45,28.054166666666667,"SW of Gomera Island, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,12/02/1873,Dredge,620.0,,,,,18.055555555555554,64.5,,64.4,64.3,,64.2,64.1,64.0,63.9,63.8,,63.7,63.5,63.0,,61.4,,,60.0,,59.1,,,58.3,,57.6,,,,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Globigerina ooze,27,24,0,N,16,55,0,W,-16.916666666666668,27.4,S of Canary Islands,34,Eastern Central Atlantic Ocean,,Spain,15/02/1873,Dredge,1890.0,2.666666666666665,36.8,1890.0,1.02854,18.055555555555554,64.5,1.02671,,,,,,,,,,,,61.8,,,,,,,,,,,,56.0,,,,51.7,49.0,46.8,44.9,43.2,41.8,40.7,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Globigerina ooze,25,52,0,N,19,22,0,W,-19.366666666666667,25.866666666666667,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,17/02/1873,Dredge,1945.0,2.666666666666665,36.8,1945.0,1.02801,19.444444444444443,67.0,1.02666,67.0,67.0,,67.0,67.0,67.0,67.0,66.2,,64.5,63.0,62.0,,60.7,,,59.4,,58.2,,,57.0,,56.0,,,,52.1,48.8,46.0,44.2,42.9,41.9,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pteropod ooze,25,45,0,N,20,14,0,W,-20.233333333333334,25.75,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,18/02/1873,Dredge,1525.0,2.7777777777777777,37.0,,,18.88888888888889,66.0,1.02654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,25,28,0,N,20,22,0,W,-20.366666666666667,25.466666666666665,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,19/02/1873,Dredge,2220.0,-17.77777777777778,0.0,,,18.88888888888889,66.0,1.02637,,,,,,,,,,,,63.0,,,,,,,,,,,,56.8,,,,52.0,49.0,46.3,44.3,43.0,42.0,41.2,40.5,39.9,39.3,38.7,,38.1,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Red clay,24,20,0,N,24,28,0,W,-24.466666666666665,24.333333333333332,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,21/02/1873,Dredge,2740.0,2.7777777777777777,37.0,2740.0,1.02948,20.0,68.0,,,,,,,,,,,,,62.6,,,,,,,,,,,,57.2,,,,52.5,49.0,46.3,44.7,43.3,42.1,41.0,40.0,39.2,38.7,38.2,,37.8,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Red clay,23,14,0,N,28,22,0,W,-28.366666666666667,23.233333333333334,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,23/02/1873,,2950.0,2.7777777777777777,37.0,2950.0,1.02949,20.666666666666668,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Red clay,23,23,0,N,31,31,0,W,-31.516666666666666,23.383333333333333,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,24/02/1873,,2750.0,2.7222222222222214,36.9,2750.0,1.02808,20.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Red clay,23,12,0,N,32,56,0,W,-32.93333333333333,23.2,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,25/02/1873,Dredge,2700.0,2.7777777777777777,37.0,2700.0,1.02811,19.444444444444443,67.0,1.02677,,,,,,,,,,,,64.5,,,,,,,,,,,,59.0,,,,53.4,49.0,46.0,44.0,42.5,41.6,40.8,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Red clay,23,23,0,N,35,11,0,W,-35.18333333333333,23.383333333333333,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,26/02/1873,Dredge,3150.0,2.666666666666665,36.8,3150.0,1.02857,20.555555555555554,69.0,1.02656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
